,time,sd,year,day,decade
548,1961-10-01,,1961,1,1960
549,1961-10-02,,1961,2,1960
550,1961-10-03,,1961,3,1960
551,1961-10-04,,1961,4,1960
552,1961-10-05,,1961,5,1960
553,1961-10-06,,1961,6,1960
554,1961-10-07,,1961,7,1960
555,1961-10-08,,1961,8,1960
556,1961-10-09,,1961,9,1960
557,1961-10-10,,1961,10,1960
558,1961-10-11,,1961,11,1960
559,1961-10-12,,1961,12,1960
560,1961-10-13,,1961,13,1960
561,1961-10-14,,1961,14,1960
562,1961-10-15,,1961,15,1960
563,1961-10-16,,1961,16,1960
564,1961-10-17,,1961,17,1960
565,1961-10-18,,1961,18,1960
566,1961-10-19,,1961,19,1960
567,1961-10-20,,1961,20,1960
568,1961-10-21,,1961,21,1960
569,1961-10-22,,1961,22,1960
570,1961-10-23,,1961,23,1960
571,1961-10-24,,1961,24,1960
572,1961-10-25,,1961,25,1960
573,1961-10-26,,1961,26,1960
574,1961-10-27,,1961,27,1960
575,1961-10-28,,1961,28,1960
576,1961-10-29,,1961,29,1960
577,1961-10-30,,1961,30,1960
578,1961-10-31,,1961,31,1960
579,1961-11-01,,1961,1,1960
580,1961-11-02,,1961,2,1960
581,1961-11-03,,1961,3,1960
582,1961-11-04,,1961,4,1960
583,1961-11-05,,1961,5,1960
584,1961-11-06,,1961,6,1960
585,1961-11-07,,1961,7,1960
586,1961-11-08,,1961,8,1960
587,1961-11-09,,1961,9,1960
588,1961-11-10,,1961,10,1960
589,1961-11-11,,1961,11,1960
590,1961-11-12,,1961,12,1960
591,1961-11-13,,1961,13,1960
592,1961-11-14,,1961,14,1960
593,1961-11-15,,1961,15,1960
594,1961-11-16,,1961,16,1960
595,1961-11-17,,1961,17,1960
596,1961-11-18,,1961,18,1960
597,1961-11-19,,1961,19,1960
598,1961-11-20,,1961,20,1960
599,1961-11-21,,1961,21,1960
600,1961-11-22,,1961,22,1960
601,1961-11-23,,1961,23,1960
602,1961-11-24,,1961,24,1960
603,1961-11-25,,1961,25,1960
604,1961-11-26,,1961,26,1960
605,1961-11-27,,1961,27,1960
606,1961-11-28,,1961,28,1960
607,1961-11-29,,1961,29,1960
608,1961-11-30,,1961,30,1960
609,1961-12-01,,1961,1,1960
610,1961-12-02,,1961,2,1960
611,1961-12-03,,1961,3,1960
612,1961-12-04,,1961,4,1960
613,1961-12-05,,1961,5,1960
614,1961-12-06,,1961,6,1960
615,1961-12-07,,1961,7,1960
616,1961-12-08,,1961,8,1960
617,1961-12-09,,1961,9,1960
618,1961-12-10,,1961,10,1960
619,1961-12-11,,1961,11,1960
620,1961-12-12,,1961,12,1960
621,1961-12-13,,1961,13,1960
622,1961-12-14,,1961,14,1960
623,1961-12-15,,1961,15,1960
624,1961-12-16,,1961,16,1960
625,1961-12-17,,1961,17,1960
626,1961-12-18,,1961,18,1960
627,1961-12-19,,1961,19,1960
628,1961-12-20,,1961,20,1960
629,1961-12-21,,1961,21,1960
630,1961-12-22,,1961,22,1960
631,1961-12-23,,1961,23,1960
632,1961-12-24,,1961,24,1960
633,1961-12-25,,1961,25,1960
634,1961-12-26,,1961,26,1960
635,1961-12-27,,1961,27,1960
636,1961-12-28,,1961,28,1960
637,1961-12-29,,1961,29,1960
638,1961-12-30,,1961,30,1960
639,1961-12-31,,1961,31,1960
640,1962-01-01,,1962,1,1960
641,1962-01-02,,1962,2,1960
642,1962-01-03,,1962,3,1960
643,1962-01-04,,1962,4,1960
644,1962-01-05,,1962,5,1960
645,1962-01-06,,1962,6,1960
646,1962-01-07,,1962,7,1960
647,1962-01-08,,1962,8,1960
648,1962-01-09,,1962,9,1960
649,1962-01-10,,1962,10,1960
650,1962-01-11,,1962,11,1960
651,1962-01-12,,1962,12,1960
652,1962-01-13,,1962,13,1960
653,1962-01-14,,1962,14,1960
654,1962-01-15,,1962,15,1960
655,1962-01-16,,1962,16,1960
656,1962-01-17,,1962,17,1960
657,1962-01-18,,1962,18,1960
658,1962-01-19,,1962,19,1960
659,1962-01-20,,1962,20,1960
660,1962-01-21,,1962,21,1960
661,1962-01-22,,1962,22,1960
662,1962-01-23,,1962,23,1960
663,1962-01-24,,1962,24,1960
664,1962-01-25,,1962,25,1960
665,1962-01-26,,1962,26,1960
666,1962-01-27,,1962,27,1960
667,1962-01-28,,1962,28,1960
668,1962-01-29,,1962,29,1960
669,1962-01-30,,1962,30,1960
670,1962-01-31,,1962,31,1960
671,1962-02-01,,1962,1,1960
672,1962-02-02,,1962,2,1960
673,1962-02-03,,1962,3,1960
674,1962-02-04,,1962,4,1960
675,1962-02-05,,1962,5,1960
676,1962-02-06,,1962,6,1960
677,1962-02-07,,1962,7,1960
678,1962-02-08,,1962,8,1960
679,1962-02-09,,1962,9,1960
680,1962-02-10,,1962,10,1960
681,1962-02-11,,1962,11,1960
682,1962-02-12,,1962,12,1960
683,1962-02-13,,1962,13,1960
684,1962-02-14,,1962,14,1960
685,1962-02-15,,1962,15,1960
686,1962-02-16,,1962,16,1960
687,1962-02-17,,1962,17,1960
688,1962-02-18,,1962,18,1960
689,1962-02-19,,1962,19,1960
690,1962-02-20,,1962,20,1960
691,1962-02-21,,1962,21,1960
692,1962-02-22,,1962,22,1960
693,1962-02-23,,1962,23,1960
694,1962-02-24,,1962,24,1960
695,1962-02-25,,1962,25,1960
696,1962-02-26,,1962,26,1960
697,1962-02-27,,1962,27,1960
698,1962-02-28,,1962,28,1960
699,1962-03-01,,1962,1,1960
700,1962-03-02,,1962,2,1960
701,1962-03-03,,1962,3,1960
702,1962-03-04,,1962,4,1960
703,1962-03-05,,1962,5,1960
704,1962-03-06,,1962,6,1960
705,1962-03-07,,1962,7,1960
706,1962-03-08,,1962,8,1960
707,1962-03-09,,1962,9,1960
708,1962-03-10,,1962,10,1960
709,1962-03-11,,1962,11,1960
710,1962-03-12,,1962,12,1960
711,1962-03-13,,1962,13,1960
712,1962-03-14,,1962,14,1960
713,1962-03-15,,1962,15,1960
714,1962-03-16,,1962,16,1960
715,1962-03-17,,1962,17,1960
716,1962-03-18,,1962,18,1960
717,1962-03-19,,1962,19,1960
718,1962-03-20,,1962,20,1960
719,1962-03-21,,1962,21,1960
720,1962-03-22,,1962,22,1960
721,1962-03-23,,1962,23,1960
722,1962-03-24,,1962,24,1960
723,1962-03-25,,1962,25,1960
724,1962-03-26,,1962,26,1960
725,1962-03-27,,1962,27,1960
726,1962-03-28,,1962,28,1960
727,1962-03-29,,1962,29,1960
728,1962-03-30,,1962,30,1960
729,1962-03-31,,1962,31,1960
730,1962-04-01,0.05487703,1962,1,1960
731,1962-04-02,0.054558218,1962,2,1960
732,1962-04-03,0.05427296,1962,3,1960
733,1962-04-04,0.054243762,1962,4,1960
734,1962-04-05,0.054203648,1962,5,1960
735,1962-04-06,0.054087926,1962,6,1960
736,1962-04-07,0.054330062,1962,7,1960
737,1962-04-08,0.05488737,1962,8,1960
738,1962-04-09,0.055070817,1962,9,1960
739,1962-04-10,0.05539425,1962,10,1960
