Time,precip_mm_ERA5_12km,CORDOVA AIRPORT,month
1971-01-03,16.500,19.050,Jan
1971-01-04,20.295,26.416,Jan
1971-01-05,28.688,35.814,Jan
1971-01-06,0.192,7.112,Jan
1971-01-07,0.000,0.254,Jan
1971-01-08,0.000,0.000,Jan
1971-01-09,0.000,0.000,Jan
1971-01-10,0.000,0.000,Jan
1971-01-11,0.000,0.000,Jan
1971-01-12,0.000,0.000,Jan
1971-01-13,0.000,0.000,Jan
1971-01-14,0.000,0.000,Jan
1971-01-15,0.000,0.000,Jan
1971-01-16,2.057,0.000,Jan
1971-01-17,1.746,0.000,Jan
1971-01-18,0.001,0.000,Jan
1971-01-19,1.422,1.270,Jan
1971-01-20,0.000,1.016,Jan
1971-01-21,0.470,0.254,Jan
1971-01-22,0.022,0.000,Jan
1971-01-23,0.000,0.000,Jan
1971-01-24,0.000,0.000,Jan
1971-01-25,7.063,3.048,Jan
1971-01-26,0.003,0.000,Jan
1971-01-27,0.000,0.000,Jan
1971-01-28,0.302,0.254,Jan
1971-01-29,0.027,0.000,Jan
1971-01-30,2.193,0.254,Jan
1971-01-31,5.622,0.508,Jan
1971-02-01,15.149,9.652,Feb
1971-02-02,7.577,0.254,Feb
1971-02-03,0.000,0.000,Feb
1971-02-04,0.013,0.000,Feb
1971-02-05,3.341,8.636,Feb
1971-02-06,58.991,36.576,Feb
1971-02-07,27.390,48.260,Feb
1971-02-08,21.273,29.972,Feb
1971-02-09,14.836,2.032,Feb
1971-02-10,0.820,0.000,Feb
1971-02-11,12.222,1.016,Feb
1971-02-12,23.039,2.286,Feb
1971-02-13,5.684,5.588,Feb
1971-02-14,4.337,0.762,Feb
1971-02-15,4.971,20.320,Feb
1971-02-16,7.394,1.270,Feb
1971-02-17,16.956,5.588,Feb
1971-02-18,7.505,3.048,Feb
1971-02-19,4.269,4.826,Feb
1971-02-20,14.305,1.778,Feb
1971-02-21,25.075,8.382,Feb
1971-02-22,2.929,19.304,Feb
1971-02-23,3.463,0.254,Feb
1971-02-24,0.863,0.254,Feb
1971-02-25,0.000,0.000,Feb
1971-02-26,0.000,0.000,Feb
1971-02-27,0.131,0.508,Feb
1971-02-28,25.251,16.764,Feb
1971-03-01,25.556,18.796,Mar
1971-03-02,4.947,0.254,Mar
1971-03-03,0.036,0.254,Mar
1971-03-04,0.000,0.254,Mar
1971-03-05,0.292,0.254,Mar
1971-03-06,1.707,0.254,Mar
1971-03-07,2.112,0.762,Mar
1971-03-08,4.617,1.778,Mar
1971-03-09,6.261,0.254,Mar
1971-03-10,2.946,0.508,Mar
1971-03-11,8.400,6.350,Mar
1971-03-12,2.175,6.604,Mar
1971-03-13,5.504,5.588,Mar
1971-03-14,0.774,0.254,Mar
1971-03-15,4.327,0.254,Mar
1971-03-16,11.158,18.542,Mar
1971-03-17,20.493,42.418,Mar
1971-03-18,0.013,0.000,Mar
1971-03-19,0.000,0.000,Mar
1971-03-20,0.000,0.000,Mar
1971-03-21,0.010,0.000,Mar
1971-03-22,0.002,0.000,Mar
1971-03-23,0.000,0.000,Mar
1971-03-24,0.000,0.000,Mar
1971-03-25,0.482,0.254,Mar
1971-03-26,0.621,0.000,Mar
1971-03-27,4.548,0.254,Mar
1971-03-28,4.694,0.508,Mar
1971-03-29,0.000,0.000,Mar
1971-03-30,0.000,0.000,Mar
1971-03-31,0.049,0.000,Mar
1971-04-01,0.000,0.000,Apr
1971-04-02,5.009,2.794,Apr
1971-04-03,12.766,9.144,Apr
1971-04-04,7.435,14.478,Apr
1971-04-05,14.570,6.858,Apr
1971-04-06,0.003,8.382,Apr
1971-04-07,0.394,0.254,Apr
1971-04-08,0.000,0.000,Apr
1971-04-09,0.085,0.762,Apr
1971-04-10,1.315,5.588,Apr
1971-04-11,8.185,17.272,Apr
1971-04-12,62.108,112.522,Apr
1971-04-13,36.476,47.244,Apr
1971-04-14,15.090,40.132,Apr
1971-04-15,11.254,5.842,Apr
1971-04-16,16.305,2.032,Apr
1971-04-17,18.332,0.508,Apr
